city,weather_data,lat,lon,temp,humid,wind,clouds
bluff,"{'coord': {'lon': 149.07, 'lat': -23.58}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 67.54, 'pressure': 1017.18, 'humidity': 65, 'temp_min': 67.54, 'temp_max': 67.54, 'sea_level': 1017.18, 'grnd_level': 994.57}, 'wind': {'speed': 10.76, 'deg': 128.005}, 'clouds': {'all': 0}, 'dt': 1551563229, 'sys': {'message': 0.0042, 'country': 'AU', 'sunrise': 1551470381, 'sunset': 1551515493}, 'id': 2175403, 'name': 'Bluff', 'cod': 200}",-23.58,149.07,67.54,65,10.76,0
henties bay,"{'coord': {'lon': 14.28, 'lat': -22.12}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 68, 'pressure': 1016, 'humidity': 85, 'temp_min': 68, 'temp_max': 68}, 'wind': {'speed': 3, 'deg': 325, 'gust': 3.58}, 'rain': {}, 'clouds': {'all': 0}, 'dt': 1551560527, 'sys': {'type': 3, 'id': 2012545, 'message': 0.0035, 'country': 'NA', 'sunrise': 1551502794, 'sunset': 1551547771}, 'id': 3356832, 'name': 'Henties Bay', 'cod': 200}",-22.12,14.28,68.0,85,3.0,0
atuona,"{'coord': {'lon': -139.03, 'lat': -9.8}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 80.9, 'pressure': 1012.7, 'humidity': 100, 'temp_min': 80.9, 'temp_max': 80.9, 'sea_level': 1012.7, 'grnd_level': 1012.65}, 'wind': {'speed': 9.53, 'deg': 88.5049}, 'clouds': {'all': 36}, 'dt': 1551563231, 'sys': {'message': 0.0033, 'country': 'PF', 'sunrise': 1551539997, 'sunset': 1551584158}, 'id': 4020109, 'name': 'Atuona', 'cod': 200}",-9.8,-139.03,80.9,100,9.53,36
khatanga,"{'coord': {'lon': 102.47, 'lat': 71.98}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': -19.95, 'pressure': 1007.02, 'humidity': 28, 'temp_min': -19.95, 'temp_max': -19.95, 'sea_level': 1007.02, 'grnd_level': 1001.77}, 'wind': {'speed': 2.71, 'deg': 90.0049}, 'clouds': {'all': 8}, 'dt': 1551563049, 'sys': {'message': 0.0035, 'country': 'RU', 'sunrise': 1551487193, 'sunset': 1551521186}, 'id': 2022572, 'name': 'Khatanga', 'cod': 200}",71.98,102.47,-19.95,28,2.71,8
provideniya,"{'coord': {'lon': -173.23, 'lat': 64.42}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 26.14, 'pressure': 1022.26, 'humidity': 98, 'temp_min': 26.14, 'temp_max': 26.14, 'sea_level': 1022.26, 'grnd_level': 1015.93}, 'wind': {'speed': 6.62, 'deg': 173.005}, 'clouds': {'all': 68}, 'dt': 1551563231, 'sys': {'message': 0.003, 'country': 'RU', 'sunrise': 1551551651, 'sunset': 1551589011}, 'id': 4031574, 'name': 'Provideniya', 'cod': 200}",64.42,-173.23,26.14,98,6.62,68
qaanaaq,"{'coord': {'lon': -69.36, 'lat': 77.48}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': -0.6, 'pressure': 1002.26, 'humidity': 74, 'temp_min': -0.6, 'temp_max': -0.6, 'sea_level': 1002.26, 'grnd_level': 968.89}, 'wind': {'speed': 13.89, 'deg': 9.50494}, 'clouds': {'all': 0}, 'dt': 1551563232, 'sys': {'message': 0.0076, 'country': 'GL', 'sunrise': 1551530548, 'sunset': 1551560341}, 'id': 3831208, 'name': 'Qaanaaq', 'cod': 200}",77.48,-69.36,-0.6,74,13.89,0
faya,"{'coord': {'lon': 42.45, 'lat': 18.39}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 59.94, 'pressure': 1023, 'humidity': 67, 'temp_min': 59, 'temp_max': 60.8}, 'visibility': 10000, 'wind': {'speed': 11.41, 'deg': 210}, 'clouds': {'all': 0}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 7396, 'message': 0.0038, 'country': 'SA', 'sunrise': 1551497285, 'sunset': 1551539796}, 'id': 110690, 'name': 'Faya', 'cod': 200}",18.39,42.45,59.94,67,11.41,0
bilibino,"{'coord': {'lon': 166.44, 'lat': 68.06}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': -14.82, 'pressure': 1015.7, 'humidity': 63, 'temp_min': -14.82, 'temp_max': -14.82, 'sea_level': 1015.7, 'grnd_level': 957.69}, 'wind': {'speed': 2.59, 'deg': 181.505}, 'clouds': {'all': 44}, 'dt': 1551563233, 'sys': {'message': 0.0038, 'country': 'RU', 'sunrise': 1551470951, 'sunset': 1551506707}, 'id': 2126682, 'name': 'Bilibino', 'cod': 200}",68.06,166.44,-14.82,63,2.59,44
vaini,"{'coord': {'lon': 74.49, 'lat': 15.34}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 59.12, 'pressure': 1010.98, 'humidity': 85, 'temp_min': 59.12, 'temp_max': 59.12, 'sea_level': 1010.98, 'grnd_level': 946.57}, 'wind': {'speed': 1.81, 'deg': 291.005}, 'clouds': {'all': 0}, 'dt': 1551563234, 'sys': {'message': 0.0035, 'country': 'IN', 'sunrise': 1551489504, 'sunset': 1551532197}, 'id': 1273574, 'name': 'Vaini', 'cod': 200}",15.34,74.49,59.12,85,1.81,0
port elizabeth,"{'coord': {'lon': -74.98, 'lat': 39.31}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}], 'base': 'stations', 'main': {'temp': 39.38, 'pressure': 1018, 'humidity': 100, 'temp_min': 37, 'temp_max': 41}, 'visibility': 4828, 'wind': {'speed': 5.82, 'deg': 270}, 'rain': {'1h': 0.76}, 'clouds': {'all': 90}, 'dt': 1551562540, 'sys': {'type': 1, 'id': 4902, 'message': 0.0071, 'country': 'US', 'sunrise': 1551526212, 'sunset': 1551567247}, 'id': 4501427, 'name': 'Port Elizabeth', 'cod': 200}",39.31,-74.98,39.38,100,5.82,90
ushuaia,"{'coord': {'lon': -68.31, 'lat': -54.81}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 55.4, 'pressure': 999, 'humidity': 71, 'temp_min': 55.4, 'temp_max': 55.4}, 'visibility': 10000, 'wind': {'speed': 13.87, 'deg': 360}, 'clouds': {'all': 75}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 8303, 'message': 0.0048, 'country': 'AR', 'sunrise': 1551520790, 'sunset': 1551569356}, 'id': 3833367, 'name': 'Ushuaia', 'cod': 200}",-54.81,-68.31,55.4,71,13.87,75
luderitz,"{'coord': {'lon': 15.16, 'lat': -26.65}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 64.7, 'pressure': 1012.7, 'humidity': 72, 'temp_min': 64.7, 'temp_max': 64.7, 'sea_level': 1012.7, 'grnd_level': 998.41}, 'wind': {'speed': 21.05, 'deg': 174.005}, 'clouds': {'all': 0}, 'dt': 1551563237, 'sys': {'message': 0.0038, 'country': 'NA', 'sunrise': 1551502414, 'sunset': 1551547724}, 'id': 3355672, 'name': 'Luderitz', 'cod': 200}",-26.65,15.16,64.7,72,21.05,0
kapaa,"{'coord': {'lon': -159.32, 'lat': 22.08}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 71.96, 'pressure': 1022, 'humidity': 64, 'temp_min': 69.01, 'temp_max': 75.2}, 'visibility': 16093, 'wind': {'speed': 19.46, 'deg': 40}, 'clouds': {'all': 75}, 'dt': 1551563119, 'sys': {'type': 1, 'id': 7873, 'message': 0.0059, 'country': 'US', 'sunrise': 1551545800, 'sunset': 1551588119}, 'id': 5848280, 'name': 'Kapaa', 'cod': 200}",22.08,-159.32,71.96,64,19.46,75
ribeira grande,"{'coord': {'lon': -28.7, 'lat': 38.52}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 60.8, 'pressure': 1017, 'humidity': 82, 'temp_min': 60.8, 'temp_max': 60.8}, 'visibility': 10000, 'wind': {'speed': 21.92, 'deg': 280}, 'clouds': {'all': 40}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 6883, 'message': 0.0047, 'country': 'PT', 'sunrise': 1551515082, 'sunset': 1551556166}, 'id': 3372707, 'name': 'Ribeira Grande', 'cod': 200}",38.52,-28.7,60.8,82,21.92,40
moroni,"{'coord': {'lon': -111.59, 'lat': 39.52}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 35.29, 'pressure': 1009, 'humidity': 91, 'temp_min': 34, 'temp_max': 37}, 'wind': {'speed': 2.93, 'deg': 258.005}, 'rain': {'1h': 1.06}, 'snow': {'3h': 0.094}, 'clouds': {'all': 92}, 'dt': 1551563044, 'sys': {'type': 3, 'id': 2008609, 'message': 0.0048, 'country': 'US', 'sunrise': 1551534999, 'sunset': 1551576031}, 'id': 5543462, 'name': 'Moroni', 'cod': 200}",39.52,-111.59,35.29,91,2.93,92
victoria,"{'coord': {'lon': 115.24, 'lat': 5.28}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 78.01, 'pressure': 1008, 'humidity': 94, 'temp_min': 77, 'temp_max': 78.8}, 'visibility': 10000, 'wind': {'speed': 1.12}, 'clouds': {'all': 75}, 'dt': 1551560400, 'sys': {'type': 1, 'id': 9372, 'message': 0.0038, 'country': 'BN', 'sunrise': 1551479424, 'sunset': 1551522711}, 'id': 1733782, 'name': 'Victoria', 'cod': 200}",5.28,115.24,78.01,94,1.12,75
saint-philippe,"{'coord': {'lon': -73.48, 'lat': 45.36}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 27.81, 'pressure': 1016, 'humidity': 68, 'temp_min': 26.01, 'temp_max': 28.99}, 'visibility': 16093, 'wind': {'speed': 4.7, 'deg': 350}, 'clouds': {'all': 90}, 'dt': 1551563228, 'sys': {'type': 1, 'id': 4146, 'message': 0.0054, 'country': 'CA', 'sunrise': 1551526148, 'sunset': 1551566599}, 'id': 6138908, 'name': 'Saint-Philippe', 'cod': 200}",45.36,-73.48,27.81,68,4.7,90
butaritari,"{'coord': {'lon': 172.79, 'lat': 3.07}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 82.34, 'pressure': 1009.46, 'humidity': 100, 'temp_min': 82.34, 'temp_max': 82.34, 'sea_level': 1009.46, 'grnd_level': 1009.45}, 'wind': {'speed': 13.22, 'deg': 66.5049}, 'rain': {'3h': 4.375}, 'clouds': {'all': 76}, 'dt': 1551563239, 'sys': {'message': 0.0036, 'country': 'KI', 'sunrise': 1551465549, 'sunset': 1551508964}, 'id': 2110227, 'name': 'Butaritari', 'cod': 200}",3.07,172.79,82.34,100,13.22,76
pangody,"{'coord': {'lon': 74.49, 'lat': 65.85}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 9.17, 'pressure': 1000.1, 'humidity': 83, 'temp_min': 9.17, 'temp_max': 9.17, 'sea_level': 1000.1, 'grnd_level': 992.57}, 'wind': {'speed': 12.33, 'deg': 300.005}, 'clouds': {'all': 36}, 'dt': 1551563240, 'sys': {'message': 0.0038, 'country': 'RU', 'sunrise': 1551492563, 'sunset': 1551529216}, 'id': 1495626, 'name': 'Pangody', 'cod': 200}",65.85,74.49,9.17,83,12.33,36
hermanus,"{'coord': {'lon': 19.24, 'lat': -34.42}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 64.58, 'pressure': 1012, 'humidity': 95, 'temp_min': 64, 'temp_max': 64.99}, 'wind': {'speed': 3.04, 'deg': 117.505}, 'rain': {}, 'clouds': {'all': 0}, 'dt': 1551563161, 'sys': {'type': 3, 'id': 2006131, 'message': 0.0034, 'country': 'ZA', 'sunrise': 1551501105, 'sunset': 1551547065}, 'id': 3366880, 'name': 'Hermanus', 'cod': 200}",-34.42,19.24,64.58,95,3.04,0
chokurdakh,"{'coord': {'lon': 147.9, 'lat': 70.62}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': -13.11, 'pressure': 1007.46, 'humidity': 80, 'temp_min': -13.11, 'temp_max': -13.11, 'sea_level': 1007.46, 'grnd_level': 1005.21}, 'wind': {'speed': 16.24, 'deg': 277.005}, 'clouds': {'all': 80}, 'dt': 1551563240, 'sys': {'message': 0.0037, 'country': 'RU', 'sunrise': 1551475959, 'sunset': 1551510609}, 'id': 2126123, 'name': 'Chokurdakh', 'cod': 200}",70.62,147.9,-13.11,80,16.24,80
